rank,Longitude,Latitude,Time,Temperature,Conductivity,Salinity,Depth,Vaissel_name,Profil_id
0,-0.9847999811172485,59.2848014831543,19369.830231481483,8.094,36.491,35.207,0,AA,3
1,-0.6563000082969666,59.2848014831543,19369.882118055557,7.567,35.963,35.167,0,AA,5
2,-0.3617999851703644,59.2848014831543,19369.925960648146,7.359,35.747,35.143,0,AA,6
3,0.006500000134110451,59.281700134277344,19369.97979166667,7.48,35.902,35.19,0,AA,8
4,0.3292999863624573,59.284698486328125,19370.039548611112,7.527,35.952,35.197,0,AA,10
5,0.6779999732971191,59.28379821777344,19370.08986111111,7.622,36.054,35.212,0,AA,12
6,1.003499984741211,59.28219985961914,19370.14857638889,7.462,35.874,35.179,0,AA,14
7,1.3131999969482422,59.28219985961914,19370.195069444442,7.234,35.583,35.092,0,AA,17
8,1.6562999486923218,59.28379821777344,19370.253969907408,7.243,35.601,35.101,0,AA,19
9,2.012500047683716,59.284000396728516,19370.392291666667,7.192,35.542,35.088,0,AA,21
10,2.246999979019165,59.28450012207031,19370.426342592593,7.178,35.516,35.075,0,AA,23
11,2.5167999267578125,59.28200149536133,19370.515162037038,7.07,35.366,35.02,0,AA,27
12,2.751300096511841,59.28369903564453,19370.551828703705,6.953,35.214,34.97,0,AA,29
13,2.9019999504089355,59.28269958496094,19370.590659722224,7.595,35.792,34.954,0,AA,32
14,3.074199914932251,59.28730010986328,19370.61494212963,7.132000000000001,34.895,34.439,0,AA,35
15,3.227299928665161,59.28300094604492,19370.676157407408,6.963,34.68,34.372,0,AA,38
16,3.3631999492645264,59.28350067138672,19371.464363425926,8.265,36.524,35.07,0,AA,39
17,3.5336999893188477,59.283199310302734,19371.497337962963,7.285,35.069,34.475,0,AA,41
18,3.682499885559082,59.28300094604492,19371.52736111111,6.516,34.013,34.078,0,AA,44
19,3.849299907684326,59.28620147705078,19371.559618055555,6.378,33.627,33.788000000000004,0,AA,45
20,4.032700061798096,59.28919982910156,19371.591944444444,6.627,33.991,33.944,0,AA,48
21,4.18120002746582,59.288299560546875,19371.617962962962,6.142,33.261,33.612,0,AA,51
22,4.333799839019775,59.284698486328125,19371.64386574074,6.048,33.17,33.603,0,AA,53
23,4.499199867248535,59.283199310302734,19371.673298611113,5.922,32.986000000000004,33.52,0,AA,55
24,4.668000221252441,59.28329849243164,19371.703530092593,5.93,33.033,33.565,0,AA,57
25,4.822000026702881,59.2843017578125,19371.734791666666,6.148,33.333,33.688,0,AA,59
26,4.933800220489502,59.28269958496094,19371.760925925926,6.063,33.196,33.618,0,AA,60
27,5.031199932098389,59.284000396728516,19371.781817129628,5.892,32.823,33.367,0,AA,61
28,8.084500312805176,58.050498962402344,19376.166469907406,7.182,34.464,33.918,0,AA,77
29,8.101200103759766,57.98379898071289,19376.192916666667,5.968,32.39,32.805,0,AA,78
30,8.163200378417969,57.91579818725586,19376.223819444444,6.287,32.868,33.03,0,AA,79
31,8.200200080871582,57.85129928588867,19376.253159722222,6.049,32.527,32.881,0,AA,80
32,8.284000396728516,57.73529815673828,19376.301064814816,5.976,32.82,33.281,0,AA,81
33,8.336199760437012,57.64970016479492,19376.334976851853,4.727,31.114,32.561,0,AA,82
34,8.38070011138916,57.54679870605469,19376.374386574073,4.269,30.476,32.269,0,AA,83
35,8.4197998046875,57.481998443603516,19376.398229166665,4.561,31.088,32.695,0,AA,84
36,8.46780014038086,57.39870071411133,19376.426550925924,5.158,32.67,33.928,0,AA,85
37,8.503800392150879,57.316001892089844,19376.455439814814,4.789,32.077,33.618,0,AA,86
38,8.555800437927246,57.23400115966797,19376.483784722222,3.786,30.468,32.74,0,AA,87
39,7.682700157165527,57.40250015258789,19376.739988425925,6.266,34.038000000000004,34.359,0,AA,75
40,7.952499866485596,57.00149917602539,19376.915925925925,4.86,32.25,33.746,0,AA,76
41,7.653500080108643,57.00279998779297,19376.977465277778,5.3340000000000005,33.199,34.356,0,AA,74
42,7.353799819946289,56.99980163574219,19377.032824074075,5.514,33.394,34.395,0,AA,73
43,6.997499942779541,57.00170135498047,19377.09681712963,5.734,33.761,34.588,0,AA,72
44,6.6717000007629395,57.00130081176758,19377.162685185187,6.2940000000000005,34.463,34.805,0,AA,71
45,6.337699890136719,57.00019836425781,19377.228668981483,5.992,34.21,34.832,0,AA,70
46,6.004799842834473,56.999298095703125,19377.295995370372,6.117,34.328,34.838,0,AA,67
47,5.832200050354004,56.88169860839844,19377.347905092593,6.389,34.506,34.758,0,AA,66
48,6.254300117492676,56.676300048828125,19377.525902777776,5.738,33.823,34.655,0,AA,69
49,5.768700122833252,56.779300689697266,19377.631041666667,6.1160000000000005,34.215,34.71,0,AA,65
50,5.6682000160217285,57.00130081176758,19377.76125,6.03,34.248,34.837,0,AA,63
51,5.195499897003174,56.99879837036133,19377.8665625,6.142,34.315,34.797000000000004,0,AA,62
52,6.117300033569336,57.18479919433594,19378.303946759257,6.091,34.229,34.752,0,AA,68
53,5.738699913024902,57.22600173950195,19378.41138888889,5.907,34.081,34.775,0,AA,64
54,4.645699977874756,57.838199615478516,19378.69883101852,7.223,35.574,35.092,0,AA,56
55,4.697500228881836,57.000701904296875,19379.247222222224,6.15,34.405,34.889,0,AA,58
56,4.492199897766113,57.13019943237305,19379.302511574075,6.034,34.201,34.779,0,AA,54
57,4.301300048828125,57.000701904296875,19379.38699074074,6.148,34.36,34.842,0,AA,52
58,4.171299934387207,56.87080001831055,19379.426979166667,6.32,34.587,34.92,0,AA,49
59,3.898699998855591,57.003501892089844,19379.50136574074,6.232,34.492,34.904,0,AA,47
60,3.6691999435424805,57.00130081176758,19379.535729166666,6.6610000000000005,35.013,35.046,0,AA,43
61,3.395699977874756,57.000701904296875,19379.61664351852,6.839,35.234,35.109,0,AA,40
62,3.1273000240325928,57.89649963378906,19380.325671296294,7.258,35.651,35.141,0,AA,36
63,2.9519999027252197,57.737300872802734,19380.440671296295,6.117,34.336,34.847,0,AA,34
64,2.625999927520752,57.26599884033203,19380.585046296295,7.359,35.817,35.22,0,AA,28
65,2.753999948501587,56.920799255371094,19380.728877314814,7.236,35.643,35.155,0,AA,31
66,2.9296998977661133,56.99980163574219,19380.765659722223,7.22,35.672000000000004,35.203,0,AA,33
67,2.498699903488159,57.00230026245117,19380.824027777777,7.362,35.797000000000004,35.196,0,AA,26
68,2.066800117492676,56.99980163574219,19380.8840625,7.433,35.839,35.17,0,AA,22
69,1.7992000579833984,56.999698638916016,19380.922152777777,7.447,35.864,35.181,0,AA,20
70,1.6002000570297241,57.00130081176758,19380.95113425926,7.524,35.944,35.192,0,AA,18
71,1.1360000371932983,57.0004997253418,19381.016215277778,7.822,36.230000000000004,35.199,0,AA,15
72,0.6697999835014343,56.999298095703125,19381.08150462963,7.87,36.287,35.213,0,AA,11
73,0.23119999468326569,56.99879837036133,19381.1458912037,7.913,36.299,35.182,0,AA,9
74,-0.23250000178813934,56.999298095703125,19381.21820601852,8.014,36.344,35.13,0,AA,7
75,-0.6983000040054321,57.00019836425781,19381.291689814814,8.033,36.331,35.095,0,AA,4
76,-1.1273000240325928,57.00130081176758,19381.355381944446,8.005,36.166000000000004,34.947,0,AA,2
77,-1.465999960899353,57.00230026245117,19381.407152777778,8.003,36.101,34.878,0,AA,1
78,2.4753000736236572,58.20349884033203,19383.328761574074,7.809,36.2,35.181,0,AA,25
79,2.450000047683716,58.698299407958984,19383.481527777778,7.472,35.873,35.166000000000004,0,AA,24
80,3.5894999504089355,58.713199615478516,19383.636689814815,6.994,34.843,34.521,0,AA,42
81,3.858299970626831,58.49020004272461,19383.732800925925,6.347,33.838,34.055,0,AA,46
82,4.177999973297119,58.313201904296875,19383.829999999998,5.908,33.019,33.572,0,AA,50
83,3.1493000984191895,59.71730041503906,19384.32238425926,8.953,37.343,35.254,0,AA,37
84,2.752700090408325,59.63029861450195,19384.445532407408,7.898000000000001,36.297000000000004,35.194,0,AA,30
85,1.2741999626159668,59.701698303222656,19385.749733796296,7.651,36.072,35.202,0,AA,16
86,0.815500020980835,59.667198181152344,19385.854247685184,7.489,35.907000000000004,35.185,0,AA,13
87,-0.9847999811172485,59.2848014831543,19369.830231481483,8.089,36.487,35.207,1,AA,3
88,-0.6563000082969666,59.2848014831543,19369.882118055557,7.5680000000000005,35.964,35.167,1,AA,5
89,-0.3617999851703644,59.2848014831543,19369.925960648146,7.353,35.742,35.144,1,AA,6
90,0.006500000134110451,59.281700134277344,19369.97979166667,7.48,35.903,35.191,1,AA,8
91,0.3292999863624573,59.284698486328125,19370.039548611112,7.527,35.953,35.197,1,AA,10
92,0.6779999732971191,59.28379821777344,19370.08986111111,7.619,36.053,35.213,1,AA,12
93,1.003499984741211,59.28219985961914,19370.14857638889,7.454,35.868,35.179,1,AA,14
94,1.3131999969482422,59.28219985961914,19370.195069444442,7.247,35.597,35.092,1,AA,17
95,1.6562999486923218,59.28379821777344,19370.253969907408,7.234,35.593,35.101,1,AA,19
96,2.012500047683716,59.284000396728516,19370.392291666667,7.1930000000000005,35.544000000000004,35.088,1,AA,21
97,2.246999979019165,59.28450012207031,19370.426342592593,7.174,35.513,35.075,1,AA,23
98,2.5167999267578125,59.28200149536133,19370.515162037038,7.072,35.368,35.02,1,AA,27
99,2.751300096511841,59.28369903564453,19370.551828703705,6.953,35.215,34.971000000000004,1,AA,29
100,2.9019999504089355,59.28269958496094,19370.590659722224,7.594,35.792,34.955,1,AA,32
101,3.074199914932251,59.28730010986328,19370.61494212963,7.132000000000001,34.896,34.439,1,AA,35
102,3.227299928665161,59.28300094604492,19370.676157407408,6.962,34.681,34.372,1,AA,38
103,3.3631999492645264,59.28350067138672,19371.464363425926,8.264,36.524,35.07,1,AA,39
104,3.5336999893188477,59.283199310302734,19371.497337962963,7.287,35.071,34.476,1,AA,41
105,3.682499885559082,59.28300094604492,19371.52736111111,6.517,34.014,34.079,1,AA,44
106,3.849299907684326,59.28620147705078,19371.559618055555,6.378,33.628,33.788000000000004,1,AA,45
107,4.032700061798096,59.28919982910156,19371.591944444444,6.626,33.99,33.943,1,AA,48
108,4.18120002746582,59.288299560546875,19371.617962962962,6.144,33.264,33.612,1,AA,51
109,4.333799839019775,59.284698486328125,19371.64386574074,6.047,33.17,33.603,1,AA,53
110,4.499199867248535,59.283199310302734,19371.673298611113,5.922,32.986000000000004,33.52,1,AA,55
111,4.668000221252441,59.28329849243164,19371.703530092593,5.925,33.028,33.565,1,AA,57
112,4.822000026702881,59.2843017578125,19371.734791666666,6.15,33.336,33.689,1,AA,59
113,4.933800220489502,59.28269958496094,19371.760925925926,6.061,33.195,33.618,1,AA,60
114,5.031199932098389,59.284000396728516,19371.781817129628,5.9190000000000005,32.864,33.386,1,AA,61
115,8.084500312805176,58.050498962402344,19376.166469907406,7.152,34.436,33.915,1,AA,77
116,8.101200103759766,57.98379898071289,19376.192916666667,5.971,32.394,32.806,1,AA,78
117,8.163200378417969,57.91579818725586,19376.223819444444,6.281,32.862,33.03,1,AA,79
118,8.200200080871582,57.85129928588867,19376.253159722222,6.0520000000000005,32.532000000000004,32.884,1,AA,80
119,8.284000396728516,57.73529815673828,19376.301064814816,5.974,32.819,33.282000000000004,1,AA,81
120,8.336199760437012,57.64970016479492,19376.334976851853,4.707,31.085,32.547000000000004,1,AA,82
121,8.38070011138916,57.54679870605469,19376.374386574073,4.265,30.473,32.27,1,AA,83
122,8.4197998046875,57.481998443603516,19376.398229166665,4.556,31.079,32.69,1,AA,84
123,8.46780014038086,57.39870071411133,19376.426550925924,5.158,32.67,33.928,1,AA,85
124,8.503800392150879,57.316001892089844,19376.455439814814,4.789,32.077,33.618,1,AA,86
125,8.555800437927246,57.23400115966797,19376.483784722222,3.807,30.488,32.742,1,AA,87
126,7.682700157165527,57.40250015258789,19376.739988425925,6.267,34.04,34.36,1,AA,75
127,7.952499866485596,57.00149917602539,19376.915925925925,4.859,32.252,33.748,1,AA,76
128,7.653500080108643,57.00279998779297,19376.977465277778,5.338,33.204,34.358000000000004,1,AA,74
129,7.353799819946289,56.99980163574219,19377.032824074075,5.506,33.387,34.395,1,AA,73
130,6.997499942779541,57.00170135498047,19377.09681712963,5.736,33.763,34.588,1,AA,72
131,6.6717000007629395,57.00130081176758,19377.162685185187,6.295,34.464,34.805,1,AA,71
132,6.337699890136719,57.00019836425781,19377.228668981483,5.992,34.21,34.832,1,AA,70
133,6.004799842834473,56.999298095703125,19377.295995370372,6.1160000000000005,34.328,34.838,1,AA,67
134,5.832200050354004,56.88169860839844,19377.347905092593,6.388,34.507,34.758,1,AA,66
135,6.254300117492676,56.676300048828125,19377.525902777776,5.738,33.824,34.655,1,AA,69
136,5.768700122833252,56.779300689697266,19377.631041666667,6.117,34.216,34.71,1,AA,65
137,5.6682000160217285,57.00130081176758,19377.76125,6.03,34.25,34.839,1,AA,63
138,5.195499897003174,56.99879837036133,19377.8665625,6.143,34.326,34.808,1,AA,62
139,6.117300033569336,57.18479919433594,19378.303946759257,6.09,34.227000000000004,34.751,1,AA,68
140,5.738699913024902,57.22600173950195,19378.41138888889,5.905,34.08,34.775,1,AA,64
141,4.645699977874756,57.838199615478516,19378.69883101852,7.223,35.574,35.092,1,AA,56
142,4.697500228881836,57.000701904296875,19379.247222222224,6.149,34.401,34.885,1,AA,58
143,4.492199897766113,57.13019943237305,19379.302511574075,6.034,34.202,34.779,1,AA,54
144,4.301300048828125,57.000701904296875,19379.38699074074,6.147,34.361000000000004,34.842,1,AA,52
145,4.171299934387207,56.87080001831055,19379.426979166667,6.319,34.588,34.921,1,AA,49
146,3.898699998855591,57.003501892089844,19379.50136574074,6.231,34.492,34.904,1,AA,47
147,3.6691999435424805,57.00130081176758,19379.535729166666,6.655,35.009,35.046,1,AA,43
148,3.395699977874756,57.000701904296875,19379.61664351852,6.839,35.234,35.109,1,AA,40
149,3.1273000240325928,57.89649963378906,19380.325671296294,7.261,35.655,35.142,1,AA,36
150,2.9519999027252197,57.737300872802734,19380.440671296295,6.112,34.333,34.847,1,AA,34
151,2.625999927520752,57.26599884033203,19380.585046296295,7.36,35.819,35.22,1,AA,28
152,2.753999948501587,56.920799255371094,19380.728877314814,7.218,35.626,35.154,1,AA,31
153,2.9296998977661133,56.99980163574219,19380.765659722223,7.195,35.65,35.204,1,AA,33
154,2.498699903488159,57.00230026245117,19380.824027777777,7.362,35.797000000000004,35.195,1,AA,26
155,2.066800117492676,56.99980163574219,19380.8840625,7.432,35.839,35.17,1,AA,22
156,1.7992000579833984,56.999698638916016,19380.922152777777,7.448,35.865,35.182,1,AA,20
157,1.6002000570297241,57.00130081176758,19380.95113425926,7.5200000000000005,35.942,35.193,1,AA,18
158,1.1360000371932983,57.0004997253418,19381.016215277778,7.8180000000000005,36.226,35.199,1,AA,15
159,0.6697999835014343,56.999298095703125,19381.08150462963,7.872,36.289,35.213,1,AA,11
160,0.23119999468326569,56.99879837036133,19381.1458912037,7.912,36.299,35.183,1,AA,9
161,-0.23250000178813934,56.999298095703125,19381.21820601852,8.014,36.345,35.13,1,AA,7
162,-0.6983000040054321,57.00019836425781,19381.291689814814,8.036,36.33,35.091,1,AA,4
163,-1.1273000240325928,57.00130081176758,19381.355381944446,7.992,36.155,34.948,1,AA,2
164,-1.465999960899353,57.00230026245117,19381.407152777778,8.018,36.115,34.878,1,AA,1
165,2.4753000736236572,58.20349884033203,19383.328761574074,7.8100000000000005,36.202,35.181,1,AA,25
166,2.450000047683716,58.698299407958984,19383.481527777778,7.4750000000000005,35.877,35.167,1,AA,24
167,3.5894999504089355,58.713199615478516,19383.636689814815,6.987,34.833,34.516,1,AA,42
168,3.858299970626831,58.49020004272461,19383.732800925925,6.354,33.845,34.055,1,AA,46
169,4.177999973297119,58.313201904296875,19383.829999999998,5.904,33.013,33.568,1,AA,50
170,3.1493000984191895,59.71730041503906,19384.32238425926,8.950000000000001,37.341,35.254,1,AA,37
171,2.752700090408325,59.63029861450195,19384.445532407408,7.896,36.294000000000004,35.194,1,AA,30
172,1.2741999626159668,59.701698303222656,19385.749733796296,7.652,36.074,35.202,1,AA,16
173,0.815500020980835,59.667198181152344,19385.854247685184,7.489,35.907000000000004,35.185,1,AA,13
174,-0.9847999811172485,59.2848014831543,19369.830231481483,8.088000000000001,36.486000000000004,35.207,2,AA,3
175,-0.6563000082969666,59.2848014831543,19369.882118055557,7.5680000000000005,35.964,35.167,2,AA,5
176,-0.3617999851703644,59.2848014831543,19369.925960648146,7.354,35.744,35.144,2,AA,6
177,0.006500000134110451,59.281700134277344,19369.97979166667,7.48,35.904,35.19,2,AA,8
178,0.3292999863624573,59.284698486328125,19370.039548611112,7.527,35.954,35.197,2,AA,10
179,0.6779999732971191,59.28379821777344,19370.08986111111,7.621,36.055,35.213,2,AA,12
180,1.003499984741211,59.28219985961914,19370.14857638889,7.442,35.857,35.179,2,AA,14
181,1.3131999969482422,59.28219985961914,19370.195069444442,7.235,35.586,35.092,2,AA,17
182,1.6562999486923218,59.28379821777344,19370.253969907408,7.232,35.591,35.101,2,AA,19
183,2.012500047683716,59.284000396728516,19370.392291666667,7.191,35.543,35.089,2,AA,21
184,2.246999979019165,59.28450012207031,19370.426342592593,7.1690000000000005,35.51,35.076,2,AA,23
185,2.5167999267578125,59.28200149536133,19370.515162037038,7.074,35.37,35.019,2,AA,27
186,2.751300096511841,59.28369903564453,19370.551828703705,6.953,35.215,34.971000000000004,2,AA,29
187,2.9019999504089355,59.28269958496094,19370.590659722224,7.594,35.793,34.955,2,AA,32
188,3.074199914932251,59.28730010986328,19370.61494212963,7.133,34.897,34.439,2,AA,35
189,3.227299928665161,59.28300094604492,19370.676157407408,6.963,34.682,34.372,2,AA,38
190,3.3631999492645264,59.28350067138672,19371.464363425926,8.262,36.521,35.07,2,AA,39
191,3.5336999893188477,59.283199310302734,19371.497337962963,7.29,35.076,34.478,2,AA,41
